cluster theme,article ids with insights – all_less_than_3_months_before_later,article ids with insights distilled – two pass – all_less_than_3_months_before_later,later act articles_ids,retrieval window start (earliest listed),retrieval lookback days,articles in both (insights ∩ distilled)
DeepSeek R1 launch & AI-stock selloff (Jan 20-27 2025),2669 2673 2677 2681 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2715 2716 2718,2669 2673 2677 2681 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2716 2718,2723,2025-01-27,2,2669 2673 2677 2681 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2716 2718
Amazon Q4 2024 earnings beat (Feb 6 2025),2402 2590 2671 2704 2730 2846 2889 2927 2945,2402 2590 2704 2730 2846 2889 2927 2945,3036,2025-01-19,19,2402 2590 2704 2730 2846 2889 2927 2945
Broadcom Q1 FY2025 earnings & AI outlook (Mar 6 2025),1167 1223 1275 1291 1310 1337 1341 1421 1435 1452 1466 1495 1597 1587 1645 1695 1726 1792 1829 1928 1959 2102 2184 2458 2540 2685 2737 2817 2862 2873 3684 3782 3845 3852 3865 3966 3992,1167 1223 1275 1291 1310 1337 1341 1421 1435 1452 1466 1597 1587 1645 1695 1726 1792 1928 1959 2102 2184 2458 2540 2685 2737 2817 2862 2873 3684 3845 3852 3865 3966 3992,3984,2024-12-08,89,1167 1223 1275 1291 1310 1337 1341 1421 1435 1452 1466 1597 1587 1645 1695 1726 1792 1928 1959 2102 2184 2458 2540 2685 2737 2817 2862 2873 3684 3845 3852 3865 3966 3992
Broadcom Q2 FY2025 earnings (Jun 5 2025),4092 4179 4299 4368 4388 4501 4533 4631 4630 4648 4671 4711 4839 4862 4870 4905 5063 5103 5164 5232 5272 5351 5357 5439 5557 5635 5951 6045 6317 6331 6343 6391,4092 4179 4368 4388 4501 4533 4631 4630 4648 4671 4711 4839 4862 4905 5063 5103 5164 5232 5272 5357 5439 5557 5635 5951 6045 6317 6331 6343,6412,2025-03-11,87,4092 4179 4368 4388 4501 4533 4631 4630 4648 4671 4711 4839 4862 4905 5063 5103 5164 5232 5272 5357 5439 5557 5635 5951 6045 6317 6331 6343
Oracle Q4 FY2025 cloud earnings (Jun 11 2025),4377 4566 6441 6541,4377 4566 6441,6563,2025-03-20,84,4377 4566 6441
Broadcom Q3 FY2025 earnings (Sep 4 2025),6589 6607 6627 7063 7106 7271 7373 7392 7395 7568 7633 7649 7679 7737 8068 8160 8418 8529 8640 8763 8804 8925 8928 9118,6589 6607 7063 7106 7271 7373 7392 7395 7568 7633 7649 7679 7737 8068 8160 8418 8529 8640 8763 8804 8925 8928 9118,9128,2025-06-13,84,6589 6607 7063 7106 7271 7373 7392 7395 7568 7633 7649 7679 7737 8068 8160 8418 8529 8640 8763 8804 8925 8928 9118
Palantir Q3 2025 earnings beat (Nov 3 2025),10613 10630 10700 10839 10841 10936 11024 11113 11126 11130 11167 11193 11211 11230 11245 11376 11387,10613 10630 10700 10839 10936 11024 11113 11126 11130 11211 11230 11376,11433,2025-10-14,21,10613 10630 10700 10839 10936 11024 11113 11126 11130 11211 11230 11376
Dell Q4 FY2026 earnings beat (Feb 26 2026),12633 12804 13260 14292,12633 12804 13260 14292,16346,2025-12-02,87,12633 12804 13260 14292
